code,city,name,country
aab,arrabury,arrabury,australia
aac,arish,el arish international airport,egypt
aad,ad-dabbah,ad-dabbah,sudan
aae,annaba,les salines,algeria
aaf,apalachicola,municipal,"usa, fl"
aag,arapoti,arapoti,brazil
aah,aachen,aachen/merzbr?ck,germany
aai,arraias,arraias,brazil
aaj,awaradam,cayana airstrip,suriname
aak,aranuka,aranuka,kiribati
aal,aalborg,aalborg,denmark
aam,mala mala,mala mala,south africa
aan,al ain,al ain international airport,united arab emirates
aao,anaco,anzualegui,venezuela
aap,houston,andrau airpark (closed 1998),"usa, tx"
aaq,anapa,vityazevo airport,russia
aar,aarhus,tirstrup,denmark
aas,apalapsili,apalapsili,indonesia
aat,altay,altay,pr china
aau,asau,asau,samoa
aav,alah,alah,philippines
aaw,abbottabad,abbottabad,pakistan
aax,araxa,araxa,brazil
aay,al ghaydah,al ghaydah,yemen
aaz,quetzaltenango,quetzaltenango airport,guatemala
aba,abakan,abakan,russia
abb,abingdon,raf station,united kingdom
abc,albacete,los llanos,spain
abd,abadan,abadan,iran
abe,allentown,lehigh valley international,"usa, pa"
abe2,bethlehem,lehigh valley international,"usa, pa"
abe3,easton,lehigh valley international,"usa, pa"
abf,abaiang,abaiang,kiribati
abg,abingdon,abingdon,australia
abh,alpha,alpha,australia
abi,abilene,municipal,"usa, tx"
abj,abidjan,felix houphouet boigny international,cote d'ivoire
abk,kabri dar,kabri dar,ethiopia
abl,ambler,ambler,"usa, ak"
abm,bamaga,bamaga,australia
abn,albina,albina,suriname
abo,aboisso,aboisso,cote d'ivoire
abp,atkamba,atkamba,papua new guinea
abq,albuquerque,albuquerque international sunport,"usa, nm"
abr,aberdeen,municipal,"usa, sd"
abs,abu simbel,abu simbel,egypt
abt,al-baha,al-aqiq,saudi arabia
abu,atambua,atambua,indonesia
abv,abuja,nnamdi azikiwe international airport,nigeria
abw,abau,abau,papua new guinea
abx,albury,albury,australia
aby,albany,dougherty county,"usa, ga"
abz,aberdeen,dyce,united kingdom
aca,acapulco,acapulco international airport,mexico
acb,bellaire,antrim county,"usa, mi"
acc,accra,kotoka international airport,ghana
acd,acandi,acandi,colombia
ace,lanzarote,lanzarote,"canary islands, spain"
ach,altenrhein,altenrhein,switzerland
aci,alderney,the blaye,united kingdom
ack,nantucket,memorial,"usa, ma"
acl,aguaclara,aguaclara,colombia
acm,arica,arica,colombia
acn,ciudad acuna,international,mexico
aco,ascona,ascona,switzerland
acr,araracuara,araracuara,colombia
acs,achinsk,achinsk,russia
act,waco,municipal,"usa, tx"
acu,achutupo,achutupo,panama
acv,arcata,arcata,"usa, ca"
acy,atlantic city,atlantic city international,"usa, nj"
acz,zabol,zabol a/p,iran
ada,adana,adana,turkey
adb,izmir,adnan menderes airport,turkey
adc,andakombe,andakombe,papua new guinea
add,addis ababa,bole international airport,ethiopia
ade,aden,aden international airport,yemen
adf,adiyaman,adiyaman,turkey
adg,adrian,lenawee county,"usa, mi"
adh,aldan,aldan,russia
adi,arandis,arandis,namibia
adj,amman,marka international airport,jordan
adk,adak island,adak island ns,"usa, ak"
adl,adelaide,adelaide international airport,australia
adm,ardmore,municipal airport,"usa, ok"
adn,andes,andes,colombia
ado,andamooka,andamooka,australia
adp,anuradhapura,anuradhapura,sri lanka
adq,kodiak,kodiak airport,"usa, ak"
adr,andrews,andrews,"usa, sc"
ads,"dallas, fort worth",addison airport,"usa, tx"
adt,ada,ada,"usa, ok"
adu,ardabil,ardabil,iran
adv,andover,andover,united kingdom
adw,camp springs,andrews afb,"usa, md"
adx,st andrews,leuchars,united kingdom
ady,alldays,alldays,south africa
adz,san andres island,sesquicentenario international airport,colombia
aea,abemama atoll,abemama atoll,kiribati
aed,aleneva,aleneva,"usa, ak"
aeg,aek godang,aek godang,indonesia
aeh,abecher,abecher,chad
aek,aseki,aseki,papua new guinea
ael,albert lea,albert lea,"usa, mn"
aeo,aioun el atrouss,aioun el atrouss,mauritania
aep,buenos aires,airport. jorge newbery,argentina
aer,adler/sochi,adler-sochi international airport,russia
aes,aalesund,vigra,norway
aet,allakaket,allakaket,"usa, ak"
aex,alexandria,alexandria international airport,"usa, la"
aey,akureyri,akureyri,iceland
afa,san rafael,san rafael,argentina
afd,port alfred,port alfred,south africa
aff,colorado springs,usaf academy,"usa, co"
afi,amalfi,amalfi,colombia
afl,alta floresta,alta floresta,brazil
afn,jaffrey,municipal,"usa, nh"
afo,afton,municipal,"usa, wy"
afr,afore,afore,papua new guinea
aft,afutara,afutara aerodrome,solomon islands
afw,"dallas, fort worth",fort worth alliance,"usa, tx"
afy,afyon,afyon,turkey
aga,agadir,agadir almassira,morocco
agb,augsburg,muehlhausen,germany
agb2,munich,augsburg - muehlhausen,germany
agc,pittsburgh,allegheny county,"usa, pa"
agd,anggi,anggi,indonesia
age,wangerooge,flugplatz,germany
agf,agen,la garenne,france
agg,angoram,angoram,papua new guinea
agh,angelholm/helsingborg,angelholm,sweden
agi,wageningen,wageningen,suriname
agj,aguni,aguni,japan
agk,kagua,kagua,papua new guinea
agl,wanigela,wanigela,papua new guinea
agm,tasiilaq,tasiilaq,greenland
agn,angoon,angoon,"usa, ak"
ago,magnolia,municipal,"usa, ar"
agp,malaga,malaga,spain
agq,agrinion,agrinion,greece
agr,agra,kheria,india
ags,augusta,bush field,"usa, ga"
